Day of the Year (DOY),Stand transpiration (mm/h),E. parramattensis (mm/h),A. bakeri (mm/h),Radiation (W/m2),T(degC),VPD (kPa),Volumetric water content (m3/m3),Rain (mm)
1,0.01297,0.00676,0.00707,28,24.3,0.59022425,0.081,0
1.02,0.01116,0.00364,0.01041,29,24.1,0.613082149,0.081520833,0
1.04,0.01382,0.00594,0.00703,28,24.5,0.618794387,0.0819375,0
1.06,0.01093,0.00279,0.00836,26,23.8,0.552187865,0.08115625,0
1.08,0.01247,0.00629,0.00753,23,23.6,0.525263919,0.080533333,0
1.1,0.01042,0.00258,0.00835,31,21.9,0.479186959,0.080741667,0
1.13,0.01163,0.00536,0.00711,41,22.5,0.448056536,0.08095,0
1.15,0.00956,0.00236,0.00806,38,22.6,0.434384725,0.081,0.2
1.17,0.00981,0.00524,0.00639,39,22.3,0.17974763,0.081,0
1.19,0.00873,0.00201,0.00755,23,21.2,0.097868005,0.08034375,0
1.21,0.00697,0.0051,0.00471,33,21.7,0.075020164,0.0795625,0
1.23,0.0133,0.0017,0.00704,53,22.6,0.087423341,0.08021875,0
1.25,0.00518,0.00336,0.00362,149,22.8,0.113374384,0.081,0
1.27,0.01971,0.00376,0.00954,318,22.4,0.299600246,0.081260417,0
1.29,0.0429,0.00214,0.00305,418,23.7,0.59850595,0.081458333,0
1.31,0.03013,0.0068,0.01291,225,22.3,0.544608492,0.0809375,0
1.33,0.05842,0.02181,0.02109,283,22.7,0.640413897,0.080466667,0
1.35,0.03433,0.0113,0.01883,465,22.6,0.844181635,0.080258333,0
1.38,0.09189,0.02799,0.03043,290,21.5,0.840809526,0.08005,0
1.4,0.03056,0.01341,0.02092,175,21.5,0.884255611,0.08059375,0
1.42,0.04173,0.04334,0.04855,127,20.3,0.384818657,0.081375,1
1.44,0.02561,0.01176,0.01879,195,19.8,0.16357623,0.08128125,0
1.46,0.01683,0.01726,0.02448,414,20.5,0.315004377,0.081020833,0
1.48,0.01972,0.00944,0.01617,168,19.8,0.396269178,0.081,0.2
1.5,0.02019,0.00719,0.00965,321,19.3,0.172046672,0.081,0.4
1.52,0.01622,0.00712,0.0126,263,20,0.223896864,0.08021875,0
1.54,0.04097,0.00879,0.0114,327,20.7,0.333476901,0.0795625,0.4
1.56,0.01454,0.00543,0.01079,186,19.9,0.215577187,0.08034375,2.2
1.58,0.01335,0.02111,0.01986,155,19.7,0.157998096,0.0809,4.6
1.6,0.01377,0.00461,0.00993,183,20.1,0.100902304,0.080275,1.4
1.63,0.00225,0.00535,0.00799,175,22,0.20285229,0.07965,0.8
1.65,0.01422,0.00448,0.00929,181,21.2,0.168132214,0.079697917,0
1.67,0.01292,-0.00039,0.00264,108,20,0.184248461,0.079958333,0
1.69,0.02023,0.00508,0.00914,161,20.3,0.1496517,0.08,0
1.71,0.04461,0.00796,0.00496,240,21,0.696615773,0.08,0
1.73,0.02343,0.00772,0.01251,102,21.1,0.780686076,0.079760417,0
1.75,0.0577,0.02657,0.01805,71,20.8,0.793484668,0.0795,0
1.77,0.02365,0.00911,0.01433,38,20.2,0.677593607,0.079239583,0
1.79,0.03076,0.02671,0.031,11,20.2,0.618569774,0.079104167,0
1.81,0.01962,0.00875,0.0149,0,20.7,0.635310008,0.08040625,0
1.83,0.01781,0.01252,0.01824,0,21.5,0.506019107,0.081433333,0
1.85,0.01364,0.00633,0.01329,0,21.7,0.444947177,0.081016667,0
1.88,0.01393,0.00771,0.0101,0,21.5,0.316900855,0.0806,0
1.9,0.01069,0.00353,0.01011,0,20.8,0.230208515,0.080302083,0
1.92,0.01209,0.00622,0.00772,0,21.5,0.219786077,0.080041667,0
1.94,0.00929,0.00225,0.00844,0,22.5,0.135774708,0.08,0.6
1.96,0.0083,0.0063,0.00579,0,20.5,0.091375315,0.08,0
1.98,0.0081,0.00173,0.00756,0,19.7,0.048086377,0.080239583,0
2,0.00609,0.00428,0.00402,0,18.9,0.041423266,0.0805,0
2.02,0.00723,0.00122,0.00688,0,18.9,0.03488275,0.081020833,0
2.04,0.005,0.00309,0.00301,0,18.4,0.033826288,0.0814375,0
2.06,0.00697,0.00082,0.00641,0,18.6,0.029964593,0.08065625,0
2.08,0.00565,0.00231,0.00269,0,18.3,0.023112786,0.079966667,0.6
2.1,0.00685,0.00065,0.00632,0,18.3,0.021011624,0.079758333,0.4
2.13,0.00286,0.0032,0.00245,0,18.3,0.018910461,0.07955,0
2.15,0.00683,0.00054,0.00631,0,19.1,0.019864053,0.079895833,0
2.17,0.00145,0.00034,0.00251,0,18.9,0.017441375,0.080416667,0
2.19,0.00655,0.00048,0.00634,0,18.8,0.017334516,0.0805,0
2.21,0.00316,-0.0005,0.00195,5,18.6,0.012841968,0.0805,0
2.23,0.00665,0.00032,0.00623,39,19.2,0.011103529,0.080260417,0
2.25,0.00215,0.00136,0.0018,50,19.6,0.006827534,0.08,0
2.27,0.00915,0.00055,0.0061,108,20.5,0.014427681,0.079739583,0
2.29,0.00545,0.00108,0.00107,152,21,0.047102134,0.0795625,0
2.31,0.01535,0.00219,0.00696,198,20.6,0.162095359,0.08034375,0
2.33,0.0234,0.00375,0.0017,252,22,0.300326766,0.0809,0
2.35,0.02417,0.00526,0.0101,226,22.2,0.407988442,0.080275,0
2.38,0.05626,0.01507,0.00833,424,23.6,0.603618206,0.07965,0
2.4,0.03644,0.00931,0.01486,410,21.8,0.692307668,0.0795,0
2.42,0.08507,0.02985,0.02641,747,22.5,0.877104612,0.0795,0
2.44,0.04821,0.01468,0.02177,592,23.3,1.000350116,0.0795,0
2.46,0.10997,0.04096,0.04411,262,23.3,1.048800121,0.0795,0
2.48,0.05475,0.01933,0.02889,382,23.7,1.135701534,0.079739583,0.2
2.5,0.12698,0.05458,0.05539,526,25.1,1.368607257,0.08,0
2.52,0.06151,0.02236,0.03238,611,24.1,1.36971524,0.079739583,0
2.54,0.11977,0.05897,0.06802,473,26.3,1.661105499,0.0795,0
2.56,0.06187,0.02547,0.03604,531,25.6,1.563861328,0.0795,0
2.58,0.13266,0.061,0.05876,732,26.8,1.75679883,0.079533333,0
2.6,0.05929,0.02569,0.03618,433,25.9,1.478829314,0.079741667,0
2.63,0.11261,0.06591,0.06675,340,25.1,1.286046262,0.07995,0
2.65,0.05724,0.02488,0.03441,449,25.5,1.304138425,0.079802083,0
2.67,0.10593,0.0503,0.06231,341,25.1,1.136801387,0.079541667,0
2.69,0.04992,0.02392,0.03332,229,23.1,0.999611515,0.0795,0
2.71,0.09443,0.04853,0.0574,171,22.8,0.992717166,0.0795,0
2.73,0.04126,0.0211,0.02882,156,22.5,0.931414496,0.0795,0
2.75,0.0714,0.04461,0.04982,125,22.2,0.92530712,0.0795,0
2.77,0.03213,0.01754,0.02371,41,21.9,0.879818678,0.08028125,0
2.79,0.04099,0.03517,0.03623,14,20.9,0.749056157,0.080958333,0
2.81,0.02388,0.01352,0.01861,0,20.4,0.654853718,0.0804375,0
2.83,0.02364,0.02067,0.02032,0,20.1,0.581948172,0.080066667,0
2.85,0.01653,0.00968,0.0142,0,20.5,0.579511868,0.080483333,0
2.88,0.02161,0.01169,0.01195,0,19.4,0.420397958,0.0809,0
2.9,0.02107,0.00581,0.01072,0,19.4,0.123646458,0.081395833,2
2.92,0.01448,0.01071,0.0109,0,20.2,0.089716227,0.081916667,0.2
2.94,0.00477,0.01013,0.01094,0,18,0.055691903,0.082,0.2
2.96,0.00744,0.00827,0.00621,0,19.6,0.040965202,0.082,0
2.98,0.00637,0.00037,0.0044,0,21.7,0.046564239,0.081760417,0.4
3,0.00686,0.00372,0.00371,0,20.3,0.040382205,0.0815,2.4
3.02,0.00488,0.00297,0.00339,0,18,0.028877283,0.082020833,0.6
3.04,0.00373,0.00345,0.00342,0,18.1,0.022829652,0.082520833,0.4
3.06,0.00546,0.00115,0.00373,0,18.6,0.019262952,0.08278125,0.4
3.08,0.00143,0.00008,0.00365,0,20.9,0.024640005,0.083066667,0
3.1,0.00332,0.00231,0.00316,0,24,0.029727208,0.083483333,0.4
3.13,0.00335,-0.00063,0.00206,0,24.2,0.036104015,0.0839,0
3.15,0.00333,0.00068,0.00264,0,23.9,0.026594063,0.084395833,0
3.17,0.00421,0.0002,0.00316,0,24.8,0.024951357,0.084916667,0
3.19,0.00594,0.00105,0.00229,0,24.6,0.027735874,0.085,0
