z_h,aspen,maple,oak,pine,birch
0.022222222,0.042709713,0.042709713,0.042709713,0.042709713,0.042709713
0.066666667,0.068013053,0.068013053,0.068013053,0.068013053,0.068013053
0.111111111,0.055933942,0.055933942,0.055933942,0.055933942,0.055933942
0.155555556,0.061633925,0.061633925,0.061633925,0.061633925,0.061633925
0.2,0.053367627,0.053367627,0.053367627,0.053367627,0.053367627
0.244444444,0.040134629,0.040134629,0.040134629,0.040134629,0.040134629
0.288888889,0.032505954,0.032505954,0.032505954,0.032505954,0.032505954
0.333333333,0.025768289,0.025768289,0.025768289,0.025768289,0.025768289
0.377777778,0.026089371,0.026089371,0.026089371,0.026089371,0.026089371
0.422222222,0.024697648,0.024697648,0.024697648,0.024697648,0.024697648
0.466666667,0.027174916,0.027174916,0.027174916,0.027174916,0.027174916
0.511111111,0.036486959,0.036486959,0.036486959,0.036486959,0.036486959
0.555555556,0.042053181,0.042053181,0.042053181,0.042053181,0.042053181
0.6,0.050709169,0.050709169,0.050709169,0.050709169,0.050709169
0.644444444,0.063071092,0.063071092,0.063071092,0.063071092,0.063071092
0.688888889,0.074196275,0.074196275,0.074196275,0.074196275,0.074196275
0.733333333,0.085790993,0.085790993,0.085790993,0.085790993,0.085790993
0.777777778,0.090279099,0.090279099,0.090279099,0.090279099,0.090279099
0.822222222,0.063972759,0.063972759,0.063972759,0.063972759,0.063972759
0.866666667,0.026446887,0.026446887,0.026446887,0.026446887,0.026446887
0.911111111,0.008329134,0.008329134,0.008329134,0.008329134,0.008329134
0.955555556,0.000610066,0.000610066,0.000610066,0.000610066,0.000610066
1,2.53E-05,2.53E-05,2.53E-05,2.53E-05,2.53E-05
