TA_F,SW_IN_F,RH,NETRAD,PA_F,WS_F,USTAR,PPFD_IN,P_F,CO2_F,VPD_kPa,SWC_m3m3,VPD_F,TIMESTAMP_START,TIMESTAMP_END
6.369,0.093,98.638,2.8283,97.68,3.547,0.5629946052631579,0.2913413333333333,0.0,401.81,0.0131,0.1035,0.131,2011-01-01 00:00:00,2011-01-01 00:30:00
6.791,0.068,99.178,2.9831,97.623,3.765,0.5656176315789474,0.28137,0.0,401.49,0.0081,0.1045,0.08099999999999999,2011-01-01 00:30:00,2011-01-01 01:00:00
6.764,0.059,99.115,2.7544,97.6,3.984,0.5682406578947368,0.2713986666666667,0.0,401.45,0.0087,0.1045,0.087,2011-01-01 01:00:00,2011-01-01 01:30:00
7.0,0.034,99.588,2.1906,97.6,3.961,0.5708636842105264,0.2614273333333333,0.0,401.67,0.0041,0.1055,0.041,2011-01-01 01:30:00,2011-01-01 02:00:00
6.678,0.047,98.772,2.415,97.6,3.938,0.5734867105263157,0.251456,0.0,401.99,0.012,0.106,0.12,2011-01-01 02:00:00,2011-01-01 02:30:00
6.694,0.027,98.759,1.9906,97.6,3.915,0.5761097368421053,0.2414846666666666,0.1,402.57,0.0121999999999999,0.107,0.121999999999999,2011-01-01 02:30:00,2011-01-01 03:00:00
6.561,0.0,98.765,2.2513,97.547,3.892,0.5787327631578947,0.2315133333333333,0.0,402.77,0.012,0.1075,0.12,2011-01-01 03:00:00,2011-01-01 03:30:00
6.734,0.002,98.935,2.074,97.5,3.869,0.5813557894736842,0.221542,0.0,402.8,0.0104999999999999,0.108,0.104999999999999,2011-01-01 03:30:00,2011-01-01 04:00:00
6.832,0.0,98.899,1.8473,97.433,3.846,0.5839788157894736,0.2115706666666666,0.0,402.9,0.0109,0.109,0.109,2011-01-01 04:00:00,2011-01-01 04:30:00
6.763,0.13,98.722,1.5412,97.4,3.966,0.5866018421052631,0.2015993333333333,0.0,402.58,0.0126,0.11,0.126,2011-01-01 04:30:00,2011-01-01 05:00:00
7.417,0.023,98.918,1.8027,97.4,4.085,0.5892248684210526,0.191628,0.0,402.19,0.0112,0.111,0.112,2011-01-01 05:00:00,2011-01-01 05:30:00
