DOY,CO2,RH,Ustar,U_top,Ta_top,PAR,Press,Time,Timestamp
1.0,401.81,98.638,0.40299,4.5541,6.3694,0.43094,97.68,5.0,2011-01-01 00:00:00
1.0,401.49,99.178,0.40299,4.5541,6.7906,0.43094,97.623,5.5,2011-01-01 00:30:00
1.0,401.45,99.115,0.40299,4.5541,6.7639,0.43094,97.6,6.0,2011-01-01 01:00:00
1.0,401.67,99.588,0.40299,4.5541,7.0001,0.43094,97.6,6.5,2011-01-01 01:30:00
1.0,401.99,98.772,0.40299,4.5541,6.6785,0.43094,97.6,7.0,2011-01-01 02:00:00
1.0,402.57,98.759,0.40299,4.5541,6.694,0.43094,97.6,7.5,2011-01-01 02:30:00
1.0,402.77,98.765,0.40299,4.5541,6.5605,0.43094,97.547,8.0,2011-01-01 03:00:00
1.0,402.8,98.935,0.40299,4.5541,6.7344,0.43094,97.5,8.5,2011-01-01 03:30:00
1.0,402.9,98.899,0.40299,4.5541,6.8319,0.43094,97.433,9.0,2011-01-01 04:00:00
1.0,402.58,98.722,0.40299,4.5541,6.7625,0.43094,97.4,9.5,2011-01-01 04:30:00
1.0,402.19,98.918,0.40299,4.5541,7.4169,0.43094,97.4,10.0,2011-01-01 05:00:00
1.0,402.29,98.926,0.40299,4.5541,7.4712,0.43094,97.4,10.5,2011-01-01 05:30:00
1.0,401.57,98.98,0.40299,4.5541,7.6933,0.43094,97.387,11.0,2011-01-01 06:00:00
1.0,398.78,98.904,0.40299,4.5541,7.0392,0.43094,97.393,11.5,2011-01-01 06:30:00
1.0,395.92,98.507,0.40299,4.5541,5.5827,0.43094,97.4,12.0,2011-01-01 07:00:00
1.0,395.84,98.19,0.60234,4.0021,4.9611,0.43094,97.353,12.5,2011-01-01 07:30:00
1.0,395.39,97.781,0.51302,3.6575,5.1695,0.1318,97.3,13.0,2011-01-01 08:00:00
1.0,395.48,85.001,0.54885,4.9547,5.4266,4.4361,97.297,13.5,2011-01-01 08:30:00
1.0,395.51,66.385,0.79691,6.7841,6.3409,16.155,97.277,14.0,2011-01-01 09:00:00
1.0,395.97,53.216,0.88205,6.5492,6.1975,58.105,97.293,14.5,2011-01-01 09:30:00
1.0,396.03,47.371,0.86293,5.4696,6.1706,237.39,97.247,15.0,2011-01-01 10:00:00
1.0,396.08,45.511,1.0879,7.5258,6.3373,351.99,97.263,15.5,2011-01-01 10:30:00
1.0,396.67,36.852,1.3915,8.1589,5.8243,249.4,97.2,16.0,2011-01-01 11:00:00
1.0,397.28,45.722,1.0423,7.6422,4.4012,143.97,97.26,16.5,2011-01-01 11:30:00
1.0,396.94,46.327,1.6216,8.906,3.0482,109.66,97.213,17.0,2011-01-01 12:00:00
1.0,396.38,43.113,1.318,9.7816,1.9892,89.619,97.2,17.5,2011-01-01 12:30:00
1.0,396.48,49.43,1.5382,9.3544,0.70558,91.451,97.2,18.0,2011-01-01 13:00:00
1.0,396.4,55.384,1.6764,9.0993,-0.15136,127.8,97.213,18.5,2011-01-01 13:30:00
1.0,396.4,58.724,1.661,10.132,-1.4086,122.14,97.26,19.0,2011-01-01 14:00:00
